name,flat_slab_size_min,flat_slab_size_max,reference_frame,age_min,age_max,trench_motion_mean,trench_motion_std,slab_bend_motion,flat_slab_size,State,contribution_trench,contribution_hinge
(1) Chilean/Pampean,330,330,D2012,0,12,126.0,22.22611077089287,-204.0,330,Active,38.18181818181819,61.81818181818181
(1) Chilean/Pampean,330,330,M2015,0,12,32.0,22.642143596988927,-298.0,330,Active,9.696969696969697,90.30303030303031
(1) Chilean/Pampean,330,330,M2019,0,12,59.0,9.41629792788369,-271.0,330,Active,17.87878787878788,82.12121212121211
(1) Chilean/Pampean,330,330,V2010,0,12,66.33333333333333,17.249798710580816,-263.6666666666667,330,Active,20.1010101010101,79.8989898989899
(2) Peruvian,375,375,V2010,0,12,68.0,20.215505600075073,-307.0,375,Active,18.133333333333333,81.86666666666666
(2) Peruvian,375,375,M2019,0,12,-25.333333333333332,73.14521325570267,-400.3333333333333,375,Active,0.0,100.0
(2) Peruvian,375,375,M2015,0,12,71.33333333333333,9.46337971105226,-303.6666666666667,375,Active,19.022222222222222,80.97777777777779
(2) Peruvian,375,375,D2012,0,12,210.33333333333334,14.839886193034712,-164.66666666666666,375,Active,56.08888888888889,43.911111111111104
(3) Bucaramanga,350,350,M2019,0,9,12.666666666666666,87.01085500607893,-337.3333333333333,350,Active,3.619047619047619,96.38095238095238
(3) Bucaramanga,350,350,M2015,0,9,59.0,41.78516483155236,-291.0,350,Active,16.857142857142858,83.14285714285714
(3) Bucaramanga,350,350,D2012,0,9,129.33333333333334,28.778850258865837,-220.66666666666666,350,Active,36.952380952380956,63.047619047619044
(3) Bucaramanga,350,350,V2010,0,9,114.0,53.34791467339656,-236.0,350,Active,32.57142857142858,67.42857142857143
(4) Mexican,160,160,V2010,0,20,145.66666666666666,33.06895153396242,-14.333333333333343,160,Active,91.04166666666667,8.95833333333334
(4) Mexican,160,160,M2019,0,20,202.33333333333334,51.48678363317026,42.33333333333334,160,Active,100.0,0.0
(4) Mexican,160,160,M2015,0,20,145.0,13.490737563232042,-15.0,160,Active,90.625,9.375
(4) Mexican,160,160,D2012,0,20,255.0,10.198039027185569,95.0,160,Active,100.0,0.0
(5) SW Japan,280,280,M2015,0,15,206.0,20.848661028149188,-74.0,280,Active,73.57142857142858,26.42857142857143
(5) SW Japan,280,280,M2019,0,15,225.0,22.73030282830976,-55.0,280,Active,80.35714285714286,19.642857142857142
(5) SW Japan,280,280,D2012,0,15,33.333333333333336,0.9428090415820634,-246.66666666666666,280,Active,11.904761904761905,88.09523809523809
(5) SW Japan,280,280,V2010,0,15,271.3333333333333,15.173075568988056,-8.666666666666686,280,Active,96.9047619047619,3.095238095238102
